date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:57	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-59be8fe04d200%22	https://preview.colorlib.com/theme/nitro/fonts/icomoon/fonts/icomoon.ttf?10si43	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://preview.colorlib.com/theme/nitro/fonts/icomoon/style.css)
14:11:59	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-59be8fdd70b40%22	https://preview.colorlib.com/theme/nitro/fonts/icomoon/fonts/icomoon.svg?10si43	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/icomoon/fonts/icomoon1a44.svg	(from https://preview.colorlib.com/theme/nitro/fonts/icomoon/style.css)
14:11:59	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-59be8fe04d200%22	https://preview.colorlib.com/theme/nitro/fonts/icomoon/fonts/icomoon.woff?10si43	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/icomoon/fonts/icomoon1a44.woff	(from https://preview.colorlib.com/theme/nitro/fonts/icomoon/style.css)
14:11:59	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:56%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:11:59	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:56%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-bg_glass_85_dfeffc_1x400.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-bg_glass_85_dfeffc_1x400.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:00	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:57%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-bg_glass_75_d0e5f5_1x400.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-bg_glass_75_d0e5f5_1x400.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:00	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:57%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:01	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:57%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-bg_glass_95_fef1ec_1x400.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:01	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:58%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_469bdd_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_469bdd_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:02	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:59%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_d8e7f3_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_d8e7f3_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:02	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:59%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_6da8d5_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_6da8d5_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:03	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:11:59%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_217bc0_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_217bc0_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:04	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:12:00%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_f9bd01_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_f9bd01_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:04	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:12:01%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_2e83ff_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_2e83ff_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:05	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:12:01%20GMT	https://preview.colorlib.com/theme/nitro/css/images/ui-icons_cd0a0a_256x240.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/images/ui-icons_cd0a0a_256x240.png	(from https://preview.colorlib.com/theme/nitro/css/jquery-ui.css)
14:12:05	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20May%202021%2006:12:02%20GMT	https://preview.colorlib.com/theme/nitro/css/owl.video.play.png	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/css/owl.video.play.png	(from https://preview.colorlib.com/theme/nitro/css/owl.carousel.min.css)
14:12:06	3690/3690	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22e6a-59be8fc781780%22	https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.eot	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/flaticon.css)
14:12:06	3690/3690	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22e6a-59be8fc781780%22	https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.eot?	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/flaticon.css)
14:12:07	1960/1960	---M--	200	added ('OK')	font/woff2	etag:%227a8-59be8fcb52080%22	https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.woff2	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.woff2	(from https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/flaticon.css)
14:12:07	2556/2556	---M--	200	added ('OK')	font/woff	etag:%229fc-59be8fca5de40%22	https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.woff	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/flaticon.css)
14:12:08	3512/3512	---MCZ	200	added ('OK')	font/ttf	etag:W/%22db8-59be8fc969c00%22	https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.ttf	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/flaticon.css)
14:12:12	11406/11406	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c8e-59be8fc969c00%22	https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.svg	D:/TEMPLATE/sdfs/preview.colorlib.com/theme/nitro/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/nitro/fonts/flaticon/font/flaticon.css)
